Power,ArraySize,latency,cycles,freq,instructions
10,1024,1.29042,160029700,3.09416e+09,40080054
11,2048,1.29129,160039316,3.09225e+09,40080055
12,4096,1.29019,160025681,3.09462e+09,40080054
13,8192,1.29157,160077467,3.09233e+09,40080055
14,16384,1.29157,160168213,3.09408e+09,40080054
15,32768,1.36921,169807001,3.09426e+09,40080056
16,65536,4.54048,563046688,3.09395e+09,40080087
17,131072,4.53644,562679662,3.09469e+09,40080088
18,262144,4.5466,564031419,3.0952e+09,40080087
19,524288,4.55565,565099233,3.09489e+09,40080088
20,1048576,4.83866,600207900,3.09491e+09,40080090
21,2097152,12.762,1583044048,3.09488e+09,40080170
22,4194304,15.3794,1907979328,3.0953e+09,40080196
23,8388608,17.0339,2113314227,3.09542e+09,40080212
24,16777216,23.2556,2884284934,3.09442e+09,40080275
25,33554432,93.3143,11576796511,3.09529e+09,40080980
26,67108864,102.302,12691197006,3.09512e+09,40081069
27,134217728,116.699,14477938001,3.09528e+09,40081212
