Power,ArraySize,latency,cycles,freq,instructions
10,1024,1.50225,240049506,3.98886e+09,80120073
11,2048,1.50319,240224239,3.98924e+09,80120073
12,4096,1.50235,240093656,3.98933e+09,80120074
13,8192,1.50327,240234961,3.98922e+09,80120073
14,16384,1.50217,240059820,3.98923e+09,80120074
15,32768,1.5473,247224654,3.98846e+09,80120073
16,65536,4.00514,640492900,3.99195e+09,80120087
17,131072,4.00833,640563012,3.98921e+09,80120088
18,262144,4.00689,640552161,3.99058e+09,80120088
19,524288,4.00821,640608751,3.98962e+09,80120086
20,1048576,4.33686,693455011,3.99145e+09,80120091
21,2097152,7.51057,1200890716,3.99134e+09,80120108
22,4194304,7.52528,1203561100,3.9924e+09,80120116
23,8388608,26.7704,4271884024,3.98339e+09,80120248
24,16777216,28.7821,4592350441,3.9829e+09,80120265
25,33554432,39.4669,6301430417,3.9856e+09,80120332
26,67108864,67.7188,10812371249,3.98564e+09,80120527
27,134217728,79.2179,12630182194,3.9799e+09,80120622
28,268435456,88.1402,14044090846,3.97745e+09,80120701
29,536870912,92.9318,14801935667,3.97593e+09,80120732
