Configuration,Iteration,Array size,latency,TLB miss
DRAM,1,134217728,117.225,27
DRAM,2,134217728,117.235,41
DRAM,3,134217728,117.195,11
DRAM,4,134217728,117.176,73
DRAM,5,134217728,117.188,81
DRAM,6,134217728,117.209,102
DRAM,7,134217728,117.055,16
DRAM,8,134217728,117.242,48
DRAM,9,134217728,117.138,77
DRAM,10,134217728,117.058,29
L1,1,16384,1.29386,1
L1,2,16384,1.29466,0
L1,3,16384,1.29456,2
L1,4,16384,1.29291,1
L1,5,16384,1.29314,1
L1,6,16384,1.29538,2
L1,7,16384,1.29503,2
L1,8,16384,1.29289,1
L1,9,16384,1.29558,1
L1,10,16384,1.29723,1
L3,1,8388608,17.4764,0
L3,2,8388608,18.2536,0
L3,3,8388608,18.1692,0
L3,4,8388608,16.9284,0
L3,5,8388608,18.1099,1
L3,6,8388608,17.0536,5
L3,7,8388608,18.0633,1
L3,8,8388608,17.0649,1
L3,9,8388608,17.5446,0
L3,10,8388608,16.9824,8
L2,1,524288,4.56237,0
L2,2,524288,4.56404,0
L2,3,524288,4.56356,0
L2,4,524288,4.56563,0
L2,5,524288,4.56496,0
L2,6,524288,4.56159,0
L2,7,524288,4.56706,0
L2,8,524288,4.56561,0
L2,9,524288,4.56863,0
L2,10,524288,4.5691,0
