Configuration,Iteration,Array size,latency,cycles,freq,instructions
L1,1,16384,1.29137,160170381,3.0946e+09,40080055
L1,2,16384,1.29189,160124436,3.09246e+09,40080055
L1,3,16384,1.29127,160175017,3.09493e+09,40080054
L1,4,16384,1.29161,160119017,3.09301e+09,40080055
L1,5,16384,1.29132,160151992,3.09437e+09,40080055
L1,6,16384,1.29064,160086669,3.09472e+09,40080055
L1,7,16384,1.29164,160209150,3.09469e+09,40080054
L1,8,16384,1.29084,160110017,3.09469e+09,40080055
L1,9,16384,1.29147,160199183,3.09492e+09,40080055
L1,10,16384,1.29184,160145513,3.09299e+09,40080055
L2,1,524288,4.56234,566108573,3.09587e+09,40080087
L2,2,524288,4.5551,565121213,3.09538e+09,40080088
L2,3,524288,4.56149,565966028,3.09567e+09,40080087
L2,4,524288,4.55655,565241635,3.09506e+09,40080088
L2,5,524288,4.56568,566516122,3.09583e+09,40080087
L2,6,524288,4.55967,565597570,3.09489e+09,40080088
L2,7,524288,4.56219,566070948,3.09577e+09,40080087
L2,8,524288,4.55947,565565427,3.09485e+09,40080090
L2,9,524288,4.56419,566308396,3.09571e+09,40080087
L2,10,524288,4.55745,565355935,3.09508e+09,40080089
L3,1,8388608,17.1703,2130209695,3.09538e+09,40080214
L3,2,8388608,18.2141,2259718250,3.09539e+09,40080224
L3,3,8388608,17.0418,2114192741,3.09527e+09,40080212
L3,4,8388608,18.1013,2245647892,3.09529e+09,40080223
L3,5,8388608,17.1641,2129404666,3.09533e+09,40080214
L3,6,8388608,18.0554,2239845865,3.09514e+09,40080222
L3,7,8388608,17.0664,2117175361,3.09517e+09,40080214
L3,8,8388608,17.6519,2189771338,3.09511e+09,40080220
L3,9,8388608,17.0733,2117776617,3.09481e+09,40080214
L3,10,8388608,17.8064,2208975244,3.09516e+09,40080220
DRAM,1,134217728,109.96,13640741309,3.09501e+09,40081146
DRAM,2,134217728,110.38,13692559153,3.09494e+09,40081164
DRAM,3,134217728,111.486,13830434806,3.09509e+09,40081165
DRAM,4,134217728,110.937,13762037008,3.09503e+09,40081159
DRAM,5,134217728,109.527,13586950561,3.095e+09,40081143
DRAM,6,134217728,116.867,14498583329,3.09522e+09,40081215
DRAM,7,134217728,110.372,13692549629,3.09516e+09,40081150
DRAM,8,134217728,115.956,14385930141,3.0953e+09,40081208
DRAM,9,134217728,116.335,14432543575,3.09523e+09,40081211
DRAM,10,134217728,119.307,14802053607,3.09539e+09,40081240
