Configuration,Iteration,Array size,latency,cycles,freq,instructions
L1,1,16384,0.750536,240041530,3.99184e+09,80120073
L1,2,16384,0.751447,240119200,3.98829e+09,80120073
L1,3,16384,0.751023,240053806,3.98946e+09,80120073
L1,4,16384,0.751123,240085079,3.98945e+09,80120073
L1,5,16384,0.751634,240200229,3.98865e+09,80120072
L1,6,16384,0.751485,240067045,3.98723e+09,80120074
L1,7,16384,0.751872,240292739,3.98892e+09,80120072
L1,8,16384,0.751647,240110070,3.98708e+09,80120073
L1,9,16384,0.750885,240051135,3.99015e+09,80120073
L1,10,16384,0.751148,240074320,3.98914e+09,80120075
L2,1,524288,2.00318,640514093,3.99087e+09,80120088
L2,2,524288,2.00449,640624530,3.98894e+09,80120083
L2,3,524288,2.00329,640547173,3.99085e+09,80120086
L2,4,524288,2.00591,640930458,3.98802e+09,80120087
L2,5,524288,2.00458,640832763,3.99007e+09,80120084
L2,6,524288,2.00382,640513769,3.9896e+09,80120087
L2,7,524288,2.00364,640645862,3.99077e+09,80120091
L2,8,524288,2.00427,640558529,3.98898e+09,80120085
L2,9,524288,2.00274,640569159,3.99208e+09,80120090
L2,10,524288,2.00546,640876898,3.98858e+09,80120087
L3,1,2097152,3.75451,1200969042,3.99242e+09,80120112
L3,2,2097152,3.75611,1200872979,3.99041e+09,80120106
L3,3,2097152,3.75416,1200809821,3.99227e+09,80120115
L3,4,2097152,3.75577,1200889733,3.99082e+09,80120106
L3,5,2097152,3.75351,1200804727,3.99294e+09,80120111
L3,6,2097152,3.75662,1200944034,3.9901e+09,80120109
L3,7,2097152,3.75384,1200835617,3.9927e+09,80120106
L3,8,2097152,3.75666,1200921788,3.98999e+09,80120110
L3,9,2097152,3.75567,1200960628,3.99116e+09,80120112
L3,10,2097152,3.75529,1200712964,3.99075e+09,80120111
DRAM,1,33554432,19.7613,6310335006,3.9856e+09,80120340
DRAM,2,33554432,19.7314,6300850459,3.98563e+09,80120332
DRAM,3,33554432,19.7307,6300764565,3.98573e+09,80120333
DRAM,4,33554432,19.7326,6301110132,3.98556e+09,80120346
DRAM,5,33554432,19.7333,6301823058,3.98587e+09,80120338
DRAM,6,33554432,19.7304,6300619140,3.98571e+09,80120328
DRAM,7,33554432,19.7353,6301862124,3.9855e+09,80120351
DRAM,8,33554432,19.7432,6304061537,3.9853e+09,80120342
DRAM,9,33554432,19.7363,6301714287,3.9852e+09,80120341
DRAM,10,33554432,19.7269,6299575677,3.98574e+09,80120346
